NodeLabel, x_undeformed, y_undeformed, z_undeformed, x_deformed, y_deformed, z_deformed
14057, 0.14000, 0.64000, 0.09000, 0.14012, 0.63993, 0.08952
14344, 0.13000, 0.64000, 0.09000, 0.13012, 0.63993, 0.08950
14631, 0.12000, 0.64000, 0.09000, 0.12011, 0.63993, 0.08949
14918, 0.11000, 0.64000, 0.09000, 0.11010, 0.63993, 0.08948
15205, 0.10000, 0.64000, 0.09000, 0.10009, 0.63993, 0.08947
15492, 0.09000, 0.64000, 0.09000, 0.09008, 0.63992, 0.08946
15779, 0.08000, 0.64000, 0.09000, 0.08007, 0.63992, 0.08945
16066, 0.07000, 0.64000, 0.09000, 0.07006, 0.63992, 0.08944
16353, 0.06000, 0.64000, 0.09000, 0.06006, 0.63992, 0.08943
16640, 0.05000, 0.64000, 0.09000, 0.05005, 0.63992, 0.08943
16927, 0.04000, 0.64000, 0.09000, 0.04004, 0.63992, 0.08942
17214, 0.03000, 0.64000, 0.09000, 0.03003, 0.63992, 0.08942
17501, 0.02000, 0.64000, 0.09000, 0.02002, 0.63992, 0.08941
17788, 0.01000, 0.64000, 0.09000, 0.01001, 0.63992, 0.08941
682, 0.00000, 0.64000, 0.09000, 0.00000, 0.63992, 0.08941
294, 0.32000, 0.64000, 0.10000, 0.32020, 0.63995, 0.09973
9177, 0.31000, 0.64000, 0.10000, 0.31020, 0.63995, 0.09971
9464, 0.30000, 0.64000, 0.10000, 0.30020, 0.63995, 0.09970
9751, 0.29000, 0.64000, 0.10000, 0.29020, 0.63995, 0.09969
10038, 0.28000, 0.64000, 0.10000, 0.28019, 0.63995, 0.09968
10325, 0.27000, 0.64000, 0.10000, 0.27019, 0.63995, 0.09967
10612, 0.26000, 0.64000, 0.10000, 0.26019, 0.63995, 0.09966
10899, 0.25000, 0.64000, 0.10000, 0.25018, 0.63995, 0.09965
11186, 0.24000, 0.64000, 0.10000, 0.24018, 0.63995, 0.09964
11473, 0.23000, 0.64000, 0.10000, 0.23018, 0.63995, 0.09962
11760, 0.22000, 0.64000, 0.10000, 0.22017, 0.63995, 0.09961
12047, 0.21000, 0.64000, 0.10000, 0.21017, 0.63994, 0.09960
12334, 0.20000, 0.64000, 0.10000, 0.20016, 0.63994, 0.09959
12621, 0.19000, 0.64000, 0.10000, 0.19016, 0.63994, 0.09957
12908, 0.18000, 0.64000, 0.10000, 0.18015, 0.63994, 0.09956
13195, 0.17000, 0.64000, 0.10000, 0.17015, 0.63994, 0.09955
13482, 0.16000, 0.64000, 0.10000, 0.16014, 0.63994, 0.09953
13769, 0.15000, 0.64000, 0.10000, 0.15013, 0.63994, 0.09952
14056, 0.14000, 0.64000, 0.10000, 0.14013, 0.63994, 0.09951
14343, 0.13000, 0.64000, 0.10000, 0.13012, 0.63994, 0.09949
14630, 0.12000, 0.64000, 0.10000, 0.12011, 0.63994, 0.09948
14917, 0.11000, 0.64000, 0.10000, 0.11010, 0.63994, 0.09947
15204, 0.10000, 0.64000, 0.10000, 0.10009, 0.63994, 0.09946
15491, 0.09000, 0.64000, 0.10000, 0.09009, 0.63994, 0.09945
